Point,RP,Stage,Site,MZ,Experiment,Block,Treatment,NNI,WDI,B2,B3,B4,B5,B6,B7,B8,B11,B12,B8A
43,NRP,V14,1,H,3,3,60N,1.032,0.825,0.0233,0.0454,0.0237,0.0612,0.2794,0.412,0.4216,0.1669,0.077,0.4291
44,NRP,V14,1,H,3,3,120N,1.305,1.012,0.0252,0.0479,0.026,0.0652,0.2788,0.4027,0.4122,0.1744,0.0812,0.4213
45,NRP,V14,1,H,3,3,180N,1.126,0.944,0.0228,0.0439,0.0245,0.0601,0.2705,0.4042,0.4159,0.1668,0.0779,0.4221
46,NRP,V14,1,M,4,1,180N,0.848,0.963,0.0304,0.0588,0.0375,0.0841,0.2666,0.3413,0.3511,0.2174,0.1208,0.3602
47,NRP,V14,1,M,4,1,240N,1.179,1.092,0.0298,0.0575,0.0351,0.0813,0.2739,0.3601,0.3656,0.2124,0.1141,0.3772
48,NRP,V14,1,M,4,1,0N,0.431,1.135,0.0258,0.0542,0.0289,0.0751,0.2853,0.3814,0.3893,0.1932,0.0966,0.4005
49,NRP,V14,1,M,4,1,120N,1.068,0.963,0.0293,0.053,0.0349,0.0744,0.2532,0.3405,0.3461,0.2035,0.1113,0.3609
50,NRP,V14,1,M,4,1,60N,0.959,0.944,0.0269,0.0505,0.0321,0.0721,0.2563,0.3473,0.3564,0.1998,0.1082,0.3677
51,NRP,V14,1,M,4,2,240N,1.209,1.169,0.0238,0.0453,0.0265,0.0662,0.2657,0.3774,0.3858,0.1919,0.0987,0.3956
52,NRP,V14,1,M,4,2,120N,1.018,1.108,0.0272,0.0534,0.0296,0.0755,0.2745,0.3696,0.3797,0.2003,0.103,0.3887
53,NRP,V14,1,M,4,2,180N,1.225,1.074,0.0223,0.0451,0.0244,0.0651,0.2687,0.3829,0.3931,0.185,0.0921,0.4018
54,NRP,V14,1,M,4,2,60N,0.968,0.873,0.0216,0.0444,0.0222,0.0636,0.2712,0.3852,0.3932,0.1806,0.087,0.4031
55,NRP,V14,1,M,4,2,0N,0.441,1.141,0.0231,0.0509,0.0243,0.0699,0.2862,0.391,0.4013,0.184,0.0898,0.4086
56,NRP,V14,1,M,4,3,0N,0.487,0.893,0.0281,0.0557,0.0332,0.0793,0.2717,0.3579,0.3684,0.2022,0.107,0.3794
57,NRP,V14,1,M,4,3,240N,0.827,1.133,0.0235,0.0508,0.027,0.0712,0.2812,0.389,0.4001,0.1936,0.0963,0.4066
58,NRP,V14,1,M,4,3,60N,0.752,0.955,0.029,0.0555,0.0348,0.0792,0.2688,0.3575,0.367,0.2058,0.1116,0.3788
