Point,RP,Stage,Site,MZ,Experiment,Block,Treatment,NNI,WDI,B2,B3,B4,B5,B6,B7,B8,B11,B12,B8A
13,NRP,R1,1,VH,1,3,60N,0.733,NA,0.04,0.0621,0.0413,0.0816,0.2885,0.4253,0.4385,0.1725,0.0822,0.4481
14,NRP,R1,1,VH,1,3,120N,1.003,NA,0.0383,0.0563,0.0363,0.0711,0.2733,0.4249,0.435,0.1594,0.075,0.4452
15,NRP,R1,1,VH,1,3,180N,1.07,NA,0.0356,0.0505,0.0328,0.0653,0.2497,0.3932,0.4029,0.148,0.072,0.4112
16,NRP,R1,1,L,2,1,180N,0.887,NA,0.051,0.0734,0.0544,0.0964,0.2843,0.3923,0.4052,0.1904,0.0995,0.418
17,NRP,R1,1,L,2,1,240N,1.061,NA,0.052,0.0775,0.0595,0.1023,0.2686,0.3584,0.3757,0.2067,0.1157,0.38
18,NRP,R1,1,L,2,1,0N,0.591,NA,0.0586,0.085,0.0761,0.1229,0.2563,0.3125,0.3302,0.2318,0.1406,0.3386
19,NRP,R1,1,L,2,1,120N,0.845,NA,0.0616,0.0877,0.0851,0.1299,0.2461,0.3036,0.3201,0.2416,0.1526,0.3323
20,NRP,R1,1,L,2,1,60N,0.759,NA,0.0568,0.0851,0.0729,0.1209,0.2708,0.3385,0.3548,0.227,0.1322,0.3664
21,NRP,R1,1,L,2,2,240N,0.99,NA,0.0485,0.0712,0.0525,0.0973,0.2784,0.3812,0.3989,0.1987,0.1062,0.404
22,NRP,R1,1,L,2,2,120N,0.766,NA,0.0545,0.082,0.0677,0.1142,0.2704,0.3438,0.3596,0.2173,0.1238,0.3699
23,NRP,R1,1,L,2,2,180N,0.796,NA,0.057,0.0828,0.0711,0.116,0.2555,0.3223,0.3374,0.2228,0.1333,0.3473
24,NRP,R1,1,L,2,2,60N,0.683,NA,0.0567,0.0823,0.0689,0.1137,0.2619,0.3301,0.349,0.2154,0.1246,0.3554
25,NRP,R1,1,L,2,2,0N,0.578,NA,0.0509,0.0791,0.0634,0.1123,0.2714,0.3458,0.3649,0.2029,0.1126,0.3692
26,NRP,R1,1,L,2,3,0N,0.552,NA,0.06,0.0884,0.0735,0.1254,0.2731,0.3393,0.3552,0.2312,0.1353,0.3645
27,NRP,R1,1,L,2,3,240N,1.077,NA,0.0547,0.0826,0.0683,0.116,0.2689,0.3459,0.3625,0.2206,0.1265,0.3717
28,NRP,R1,1,L,2,3,60N,0.809,NA,0.056,0.082,0.0663,0.1098,0.2739,0.3637,0.3745,0.2091,0.1176,0.3874
29,NRP,R1,1,L,2,3,120N,0.727,NA,0.058,0.0799,0.0694,0.1135,0.2541,0.3231,0.3359,0.2165,0.1275,0.349
30,NRP,R1,1,L,2,3,180N,0.893,NA,0.0551,0.079,0.0691,0.1087,0.2328,0.2914,0.311,0.206,0.1234,0.3158
31,NRP,R1,1,H,3,1,180N,1.128,NA,0.0531,0.0774,0.0578,0.1008,0.2808,0.3811,0.3927,0.1973,0.108,0.4026
32,NRP,R1,1,H,3,1,240N,1.125,NA,0.0434,0.0688,0.0515,0.0958,0.278,0.3839,0.3968,0.1948,0.1051,0.4083
33,NRP,R1,1,H,3,1,0N,0.765,NA,0.0396,0.0657,0.0452,0.088,0.2973,0.4269,0.4383,0.1748,0.0878,0.4499
34,NRP,R1,1,H,3,1,120N,1.077,NA,0.0427,0.0636,0.0478,0.0811,0.2767,0.4177,0.4316,0.1718,0.087,0.4433
35,NRP,R1,1,H,3,1,60N,0.808,NA,0.0455,0.0651,0.0453,0.0804,0.2809,0.4195,0.4343,0.1721,0.0855,0.4434
36,NRP,R1,1,H,3,2,240N,1.245,NA,0.046,0.0657,0.0481,0.0824,0.2756,0.416,0.431,0.1711,0.0872,0.4384
37,NRP,R1,1,H,3,2,120N,0.891,NA,0.0578,0.082,0.0747,0.1141,0.2524,0.3257,0.3355,0.2167,0.1292,0.3533
38,NRP,R1,1,H,3,2,180N,0.963,NA,0.0409,0.0581,0.0416,0.0776,0.2777,0.4199,0.4344,0.1699,0.0862,0.4454
39,NRP,R1,1,H,3,2,60N,0.832,NA,0.0441,0.0655,0.0466,0.0871,0.2883,0.4166,0.431,0.1767,0.0888,0.4383
40,NRP,R1,1,H,3,2,0N,0.767,NA,0.047,0.0708,0.0483,0.0921,0.2962,0.4131,0.4248,0.1821,0.0927,0.4332
41,NRP,R1,1,H,3,3,0N,0.754,NA,0.0446,0.0719,0.051,0.0921,0.2906,0.4186,0.4344,0.1816,0.0928,0.442
42,NRP,R1,1,H,3,3,240N,1.066,NA,0.0436,0.07,0.0506,0.0918,0.28,0.3848,0.3958,0.189,0.0998,0.4064
43,NRP,R1,1,H,3,3,60N,1.072,NA,0.0387,0.063,0.0422,0.0807,0.289,0.429,0.4446,0.1713,0.0864,0.4502
44,NRP,R1,1,H,3,3,120N,1.036,NA,0.0446,0.0633,0.0445,0.0807,0.2832,0.4267,0.4408,0.1723,0.0881,0.4456
45,NRP,R1,1,H,3,3,180N,1.068,NA,0.046,0.0647,0.0445,0.0791,0.2767,0.423,0.4356,0.1727,0.0893,0.446
46,NRP,R1,1,M,4,1,180N,0.924,NA,0.0504,0.0768,0.0648,0.1098,0.2565,0.33,0.3391,0.2314,0.1404,0.3539
47,NRP,R1,1,M,4,1,240N,1.266,NA,0.0371,0.0641,0.0453,0.0869,0.2773,0.3871,0.4016,0.1998,0.1088,0.4053
48,NRP,R1,1,M,4,1,0N,0.92,NA,0.0349,0.0599,0.0372,0.0808,0.2891,0.4034,0.4141,0.183,0.0941,0.4229
49,NRP,R1,1,M,4,1,120N,0.944,NA,0.0435,0.066,0.049,0.0867,0.2653,0.3662,0.3735,0.1995,0.1088,0.3901
50,NRP,R1,1,M,4,1,60N,0.725,NA,0.0422,0.065,0.0451,0.0881,0.2802,0.3874,0.3993,0.2006,0.1066,0.4101
51,NRP,R1,1,M,4,2,240N,1.093,NA,0.0372,0.0586,0.0406,0.0818,0.2782,0.4002,0.4178,0.1913,0.1019,0.421
52,NRP,R1,1,M,4,2,120N,0.987,NA,0.0331,0.0542,0.0362,0.0775,0.2798,0.412,0.4222,0.1822,0.0918,0.4337
53,NRP,R1,1,M,4,2,180N,1.095,NA,0.0338,0.0552,0.0376,0.076,0.2762,0.4034,0.4127,0.1812,0.0909,0.4233
54,NRP,R1,1,M,4,2,60N,1.151,NA,0.0343,0.0557,0.0358,0.074,0.2802,0.4179,0.4308,0.1744,0.0866,0.4403
55,NRP,R1,1,M,4,2,0N,0.719,NA,0.0409,0.0629,0.0386,0.0825,0.2979,0.4208,0.436,0.182,0.0908,0.4426
56,NRP,R1,1,M,4,3,0N,0.719,NA,0.044,0.0704,0.0455,0.0948,0.2943,0.3918,0.4062,0.1991,0.1071,0.4136
57,NRP,R1,1,M,4,3,240N,1.207,NA,0.0377,0.0611,0.0379,0.0809,0.288,0.4085,0.4204,0.1881,0.098,0.4295
58,NRP,R1,1,M,4,3,60N,0.867,NA,0.0445,0.0702,0.0525,0.0968,0.2803,0.3701,0.3804,0.2069,0.1147,0.3949
59,NRP,R1,1,M,4,3,120N,0.981,NA,0.04,0.0577,0.0373,0.0765,0.2744,0.3999,0.4122,0.1783,0.0913,0.4224
60,NRP,R1,1,M,4,3,180N,1.047,NA,0.0436,0.0653,0.0415,0.0841,0.2833,0.3988,0.4125,0.1872,0.0943,0.4214
61,NRP,R1,2,H,5,1,180N,0.781,NA,0.028,0.0505,0.0334,0.0727,0.2487,0.3628,0.3842,0.1704,0.0876,0.3913
62,NRP,R1,2,H,5,1,240N,1.131,NA,0.0242,0.0449,0.0253,0.0638,0.254,0.3766,0.3983,0.1607,0.0783,0.4013
63,NRP,R1,2,H,5,1,0N,0.564,NA,0.0289,0.0612,0.0357,0.0869,0.2854,0.3772,0.3948,0.1722,0.0867,0.4003
64,NRP,R1,2,H,5,1,120N,0.695,NA,0.022,0.0433,0.0238,0.0583,0.2531,0.3803,0.3942,0.1518,0.0718,0.4032
65,NRP,R1,2,H,5,1,60N,0.629,NA,0.0214,0.0437,0.0224,0.0595,0.2616,0.3888,0.4041,0.148,0.0698,0.4128
66,NRP,R1,2,H,5,2,240N,0.963,NA,0.0217,0.0399,0.0232,0.0568,0.2411,0.376,0.3937,0.1536,0.0741,0.4002
67,NRP,R1,2,H,5,2,120N,0.856,NA,0.0223,0.043,0.0242,0.0595,0.2531,0.3798,0.3995,0.1559,0.0758,0.4015
68,NRP,R1,2,H,5,2,180N,0.731,NA,0.0221,0.0409,0.0236,0.0574,0.245,0.3711,0.3896,0.1545,0.0755,0.3953
69,NRP,R1,2,H,5,2,60N,0.763,NA,0.0241,0.0481,0.0275,0.0677,0.2594,0.3721,0.3884,0.1609,0.0795,0.3961
70,NRP,R1,2,H,5,2,0N,0.472,NA,0.0273,0.0569,0.0332,0.0811,0.2775,0.3745,0.3916,0.1666,0.0828,0.3993
71,NRP,R1,2,H,5,3,0N,0.395,NA,0.0287,0.0614,0.0373,0.0878,0.2826,0.3733,0.3901,0.1738,0.0889,0.3977
72,NRP,R1,2,H,5,3,240N,0.996,NA,0.0213,0.0379,0.0216,0.054,0.2398,0.38,0.3968,0.1499,0.072,0.403
73,NRP,R1,2,H,5,3,60N,0.882,NA,0.0206,0.0412,0.0212,0.0562,0.2554,0.3895,0.4066,0.1482,0.0701,0.4136
74,NRP,R1,2,H,5,3,120N,0.707,NA,0.024,0.0453,0.0257,0.0625,0.2545,0.3741,0.3909,0.1559,0.0766,0.3979
75,NRP,R1,2,H,5,3,180N,0.809,NA,0.0258,0.0494,0.0294,0.07,0.2573,0.3688,0.386,0.167,0.0833,0.3943
76,NRP,R1,2,L,6,1,180N,1.005,NA,0.0288,0.0488,0.0334,0.0706,0.2387,0.3424,0.3577,0.1788,0.0967,0.3649
77,NRP,R1,2,L,6,1,240N,0.992,NA,0.031,0.0513,0.0379,0.0747,0.235,0.3317,0.3496,0.1863,0.1039,0.3562
78,NRP,R1,2,L,6,1,0N,0.509,NA,0.0329,0.0625,0.0441,0.0941,0.2712,0.3517,0.3698,0.1921,0.1038,0.3777
79,NRP,R1,2,L,6,1,120N,0.911,NA,0.0304,0.0516,0.0379,0.0777,0.2394,0.334,0.3544,0.1868,0.105,0.3602
80,NRP,R1,2,L,6,1,60N,0.702,NA,0.0355,0.0607,0.0506,0.0902,0.2372,0.3116,0.3255,0.2036,0.121,0.3385
81,NRP,R1,2,L,6,2,240N,0.82,NA,0.0277,0.0468,0.0325,0.0663,0.2417,0.3505,0.3669,0.1732,0.0896,0.3741
82,NRP,R1,2,L,6,2,120N,0.892,NA,0.0284,0.0502,0.0337,0.0724,0.2486,0.3557,0.3735,0.1767,0.0935,0.3804
83,NRP,R1,2,L,6,2,180N,0.779,NA,0.0356,0.0597,0.0478,0.0871,0.233,0.3118,0.3249,0.2024,0.1202,0.3357
84,NRP,R1,2,L,6,2,60N,0.604,NA,0.0333,0.0581,0.0424,0.0868,0.2531,0.3374,0.3562,0.1932,0.1066,0.3651
85,NRP,R1,2,L,6,2,0N,0.402,NA,0.0433,0.073,0.0635,0.1138,0.2507,0.3053,0.3237,0.2272,0.1404,0.3334
86,NRP,R1,2,L,6,3,0N,0.446,NA,0.0325,0.0644,0.0437,0.0947,0.2757,0.3539,0.369,0.19,0.1027,0.3792
87,NRP,R1,2,L,6,3,240N,1.109,NA,0.0235,0.0406,0.0263,0.0583,0.2385,0.3668,0.3833,0.1605,0.0798,0.3908
88,NRP,R1,2,L,6,3,60N,0.634,NA,0.0316,0.0562,0.0387,0.0815,0.2575,0.3513,0.3679,0.1852,0.0995,0.3764
89,NRP,R1,2,L,6,3,120N,0.574,NA,0.0298,0.0531,0.0372,0.0788,0.2486,0.3494,0.3661,0.1818,0.0967,0.3755
90,NRP,R1,2,L,6,3,180N,0.954,NA,0.0301,0.0521,0.0375,0.0765,0.244,0.3422,0.3597,0.184,0.0988,0.3694
91,NRP,R1,2,M,7,1,180N,0.99,NA,0.029,0.0503,0.0347,0.0735,0.2394,0.3423,0.3587,0.1742,0.0927,0.3701
92,NRP,R1,2,M,7,1,240N,0.842,NA,0.0294,0.0518,0.0371,0.0757,0.2387,0.3379,0.3531,0.1788,0.0965,0.3631
93,NRP,R1,2,M,7,1,0N,0.351,NA,0.0343,0.0655,0.0459,0.0994,0.2762,0.3543,0.3718,0.196,0.107,0.3806
94,NRP,R1,2,M,7,1,120N,0.883,NA,0.0294,0.0519,0.0355,0.0761,0.2457,0.3483,0.3627,0.1787,0.0966,0.3735
95,NRP,R1,2,M,7,1,60N,0.527,NA,0.0324,0.0571,0.04,0.0833,0.2553,0.3494,0.367,0.1879,0.1013,0.3754
96,NRP,R1,2,M,7,2,240N,1.013,NA,0.0271,0.0483,0.0316,0.07,0.2421,0.3527,0.3726,0.1681,0.0861,0.3806
97,NRP,R1,2,M,7,2,120N,0.794,NA,0.0304,0.0556,0.038,0.0787,0.2465,0.3421,0.3574,0.1804,0.0965,0.3684
98,NRP,R1,2,M,7,2,180N,0.934,NA,0.0219,0.0418,0.0231,0.0578,0.251,0.3852,0.4034,0.1527,0.0729,0.4095
99,NRP,R1,2,M,7,2,60N,0.643,NA,0.0322,0.0566,0.0407,0.0833,0.2504,0.3434,0.3617,0.185,0.0995,0.3716
100,NRP,R1,2,M,7,2,0N,0.488,NA,0.0342,0.0651,0.0493,0.1015,0.2737,0.3525,0.3715,0.1995,0.1098,0.3799
101,NRP,R1,2,M,7,3,0N,0.45,NA,0.0344,0.0667,0.0493,0.1019,0.272,0.3479,0.3668,0.1967,0.1075,0.3781
102,NRP,R1,2,M,7,3,240N,1.188,NA,0.0316,0.0544,0.0387,0.0792,0.2392,0.335,0.354,0.1824,0.0984,0.3649
103,NRP,R1,2,M,7,3,60N,0.847,NA,0.0332,0.0582,0.0423,0.0862,0.2488,0.3363,0.3556,0.1871,0.1025,0.3657
104,NRP,R1,2,M,7,3,120N,0.868,NA,0.0278,0.0514,0.0333,0.0733,0.2487,0.3579,0.3746,0.1749,0.0916,0.3839
105,NRP,R1,2,M,7,3,180N,1.083,NA,0.0321,0.0562,0.041,0.0822,0.2414,0.3372,0.3535,0.1883,0.1036,0.3648
106,SEB,R1,3,H,8,1,60N,0.72,NA,0.0253,0.0446,0.0285,0.065,0.2438,0.3429,0.3619,0.1633,0.0848,0.3661
107,SEB,R1,3,H,8,1,180N,0.681,NA,0.0249,0.0421,0.028,0.0615,0.2323,0.3325,0.3449,0.1613,0.0829,0.3543
108,SEB,R1,3,H,8,1,240N,0.867,NA,0.0242,0.0413,0.0267,0.0594,0.2383,0.3499,0.3632,0.156,0.0762,0.3721
109,SEB,R1,3,H,8,1,120N,0.824,NA,0.0255,0.0436,0.0306,0.0638,0.2329,0.3451,0.3501,0.1571,0.083,0.3592
110,SEB,R1,3,H,8,1,0N,0.588,NA,0.0249,0.0464,0.0299,0.0694,0.2467,0.3361,0.3488,0.1618,0.0838,0.3577
111,SEB,R1,3,H,8,2,0N,0.62,NA,0.0261,0.0478,0.0331,0.073,0.2494,0.3427,0.3585,0.1618,0.081,0.3675
112,SEB,R1,3,H,8,2,240N,0.851,NA,0.0225,0.0393,0.0252,0.0577,0.2296,0.3474,0.3603,0.15,0.0738,0.3694
113,SEB,R1,3,H,8,2,120N,0.78,NA,0.0238,0.0414,0.0255,0.0605,0.244,0.3662,0.3782,0.1517,0.0718,0.3828
114,SEB,R1,3,H,8,2,180N,0.945,NA,0.0243,0.0408,0.0267,0.0593,0.2359,0.3533,0.3702,0.1568,0.0786,0.3758
115,SEB,R1,3,H,8,2,60N,0.562,NA,0.0224,0.0417,0.0257,0.0601,0.2469,0.3631,0.3749,0.1515,0.0716,0.3834
116,SEB,R1,3,H,8,3,180N,0.795,NA,0.0218,0.0391,0.0239,0.0567,0.2357,0.3589,0.374,0.1502,0.0718,0.3815
117,SEB,R1,3,H,8,3,120N,0.787,NA,0.024,0.0415,0.0281,0.061,0.2312,0.3372,0.3471,0.1541,0.0771,0.3584
118,SEB,R1,3,H,8,3,60N,0.839,NA,0.0228,0.0417,0.0255,0.0612,0.2423,0.3544,0.3686,0.1523,0.0734,0.3736
119,SEB,R1,3,H,8,3,0N,0.565,NA,0.0238,0.0432,0.0262,0.0638,0.2495,0.3609,0.3741,0.1516,0.0721,0.3831
120,SEB,R1,3,H,8,3,240N,0.946,NA,0.021,0.0367,0.0224,0.052,0.2339,0.3641,0.3758,0.147,0.068,0.3822
121,SEB,R1,3,L,9,1,60N,0.588,NA,0.0247,0.0439,0.0305,0.0647,0.2239,0.3103,0.3236,0.1655,0.0904,0.3362
122,SEB,R1,3,L,9,1,180N,0.877,NA,0.0243,0.0393,0.0268,0.0582,0.2194,0.3164,0.3332,0.1628,0.085,0.3397
123,SEB,R1,3,L,9,1,240N,0.899,NA,0.0229,0.0388,0.0264,0.0567,0.2188,0.3191,0.3339,0.1616,0.0847,0.3392
124,SEB,R1,3,L,9,1,120N,0.899,NA,0.0264,0.0438,0.033,0.0653,0.2192,0.3061,0.3191,0.1734,0.0987,0.3315
125,SEB,R1,3,L,9,1,0N,0.555,NA,0.0257,0.0464,0.032,0.0717,0.237,0.3244,0.3388,0.1739,0.0969,0.3474
126,SEB,R1,3,L,9,2,0N,0.599,NA,0.0267,0.0468,0.0322,0.0701,0.2341,0.3181,0.3307,0.1715,0.0919,0.3398
127,SEB,R1,3,L,9,2,240N,0.935,NA,0.0234,0.0382,0.026,0.0571,0.2201,0.319,0.3335,0.1636,0.0841,0.3446
128,SEB,R1,3,L,9,2,120N,0.759,NA,0.024,0.0414,0.0283,0.0601,0.2222,0.3182,0.3291,0.1646,0.0881,0.3401
129,SEB,R1,3,L,9,2,180N,0.703,NA,0.0224,0.0402,0.0253,0.0581,0.2275,0.3312,0.3486,0.163,0.0832,0.353
130,SEB,R1,3,L,9,2,60N,0.678,NA,0.0249,0.0427,0.0287,0.0621,0.2262,0.3202,0.3321,0.1641,0.0864,0.3424
131,SEB,R1,3,L,9,3,180N,0.764,NA,0.0241,0.0418,0.0297,0.0619,0.2237,0.3245,0.3358,0.1693,0.0901,0.3451
132,SEB,R1,3,L,9,3,120N,0.711,NA,0.0241,0.0394,0.0283,0.0592,0.2178,0.313,0.3257,0.1629,0.0866,0.3359
133,SEB,R1,3,L,9,3,60N,0.685,NA,0.0251,0.043,0.0314,0.0649,0.22,0.3061,0.3211,0.1724,0.096,0.3294
134,SEB,R1,3,L,9,3,0N,0.273,NA,0.0292,0.0515,0.0371,0.0791,0.239,0.3144,0.3283,0.1804,0.1034,0.3373
135,SEB,R1,3,L,9,3,240N,0.78,NA,0.0239,0.0405,0.0264,0.0563,0.2225,0.3232,0.337,0.1612,0.0839,0.3471
136,SEB,R1,4,H,10,1,0N,0.685,NA,0.0134,0.0381,0.0227,0.0568,0.2396,0.3256,0.3394,0.1407,0.066,0.3484
137,SEB,R1,4,H,10,1,180N,1.118,NA,0.0122,0.0318,0.0179,0.0463,0.2321,0.3385,0.3548,0.1312,0.0598,0.3637
138,SEB,R1,4,H,10,1,240N,1.261,NA,0.0125,0.0324,0.0189,0.0487,0.2335,0.3385,0.3527,0.1343,0.0621,0.364
139,SEB,R1,4,H,10,1,120N,1.156,NA,0.0124,0.0314,0.0178,0.0469,0.2328,0.3396,0.3559,0.1335,0.0599,0.3639
140,SEB,R1,4,H,10,1,60N,0.995,NA,0.0125,0.0331,0.0197,0.05,0.2352,0.3338,0.3453,0.1344,0.0609,0.3587
141,SEB,R1,4,H,10,2,60N,0.898,NA,0.0131,0.0335,0.019,0.0495,0.2358,0.338,0.3522,0.133,0.0595,0.363
142,SEB,R1,4,H,10,2,240N,0.734,NA,0.0112,0.0309,0.0176,0.0463,0.2336,0.3422,0.3568,0.1311,0.0589,0.3672
143,SEB,R1,4,H,10,2,120N,1.111,NA,0.012,0.032,0.0185,0.0467,0.2311,0.3322,0.3467,0.1339,0.0612,0.3574
144,SEB,R1,4,H,10,2,180N,1.083,NA,0.0124,0.0317,0.0185,0.0473,0.2336,0.3404,0.3558,0.1345,0.0605,0.3677
145,SEB,R1,4,H,10,2,0N,0.955,NA,0.0116,0.0343,0.0192,0.0508,0.2386,0.3342,0.3497,0.1364,0.0617,0.3605
146,SEB,R1,4,H,10,3,180N,0.892,NA,0.0118,0.0316,0.0178,0.0456,0.2358,0.3472,0.362,0.1312,0.0574,0.3734
147,SEB,R1,4,H,10,3,120N,0.909,NA,0.0118,0.0311,0.0177,0.0471,0.2347,0.3407,0.3573,0.1318,0.058,0.3679
148,SEB,R1,4,H,10,3,60N,1.154,NA,0.0135,0.034,0.0198,0.05,0.2353,0.3316,0.3441,0.1357,0.0625,0.3566
149,SEB,R1,4,H,10,3,0N,1.027,NA,0.0145,0.0362,0.0216,0.0554,0.2364,0.3218,0.3367,0.1398,0.0662,0.3453
150,SEB,R1,4,H,10,3,240N,0.6,NA,0.0108,0.0313,0.0169,0.0447,0.2373,0.3516,0.3702,0.1297,0.057,0.378
156,SEB,R1,4,L,11,4,180N,1.116,NA,0.0128,0.0332,0.0191,0.0503,0.2358,0.3349,0.3477,0.1375,0.0633,0.359
157,SEB,R1,4,L,11,2,60N,1.169,NA,0.0154,0.0389,0.0229,0.0562,0.2347,0.3156,0.3275,0.1451,0.0698,0.3408
158,SEB,R1,4,L,11,2,240N,0.764,NA,0.0145,0.0376,0.0227,0.0561,0.2311,0.3167,0.3263,0.1431,0.0696,0.338
159,SEB,R1,4,L,11,2,120N,1.029,NA,0.0148,0.0381,0.0232,0.0567,0.2309,0.3121,0.3239,0.144,0.0711,0.3366
160,SEB,R1,4,L,11,2,180N,1.256,NA,0.0152,0.0382,0.0234,0.0585,0.2286,0.3083,0.3197,0.1458,0.0731,0.3289
161,SEB,R1,4,L,11,2,0N,0.901,NA,0.0173,0.0431,0.0275,0.0658,0.2259,0.2952,0.3035,0.1539,0.0799,0.3148
162,SEB,R1,4,L,11,4,0N,1.147,NA,0.0166,0.0391,0.0244,0.0594,0.233,0.3138,0.3275,0.1492,0.0734,0.3367
163,SEB,R1,4,L,11,4,240N,1.279,NA,0.0127,0.033,0.0192,0.048,0.2318,0.3362,0.35,0.139,0.0642,0.3608
164,SEB,R1,4,L,11,4,60N,0.824,NA,0.0142,0.0351,0.0208,0.0516,0.2356,0.3316,0.3444,0.141,0.0654,0.3541
165,SEB,R1,4,L,11,4,120N,1.006,NA,0.0135,0.0347,0.0194,0.0519,0.2395,0.3387,0.3578,0.1386,0.0631,0.3621
166,SEB,R1,4,L,11,3,180N,1.076,NA,0.0136,0.0346,0.0202,0.0511,0.2337,0.3307,0.3447,0.1401,0.0652,0.3566
167,SEB,R1,4,L,11,3,120N,1.087,NA,0.0152,0.0384,0.0222,0.057,0.2318,0.3137,0.3253,0.1476,0.0724,0.3368
168,SEB,R1,4,L,11,3,60N,0.98,NA,0.015,0.0391,0.0245,0.0598,0.2335,0.3088,0.3229,0.1494,0.0752,0.3322
169,SEB,R1,4,L,11,3,0N,0.776,NA,0.0157,0.0407,0.0253,0.0637,0.2278,0.2974,0.3108,0.1517,0.078,0.317
170,SEB,R1,4,L,11,3,240N,1.315,NA,0.015,0.0384,0.0236,0.057,0.2319,0.315,0.329,0.1491,0.0754,0.3387
